File Created by: PDT Download Downhole Data
Version: 1.234
Tool Name: PowerMaster
Tool Serial Number: 14
PC Download Start Date and Time: 1/29/2021 at  3:24:16
Date and Time on the tool: 1/29/2021 at  3:24:16
#Recorded ,            Date-Time ,    CRC , objectId ,  jobID , runNum , dataLen ,     XYVibe ,     XYPeak , XYShock ,       ZVib ,      ZPeak , ZShock , ZVibeFlg , ZShkFlg , XYVibeFlg , XYShkFlg , PackedVib , 
000000054 ,  2021/01/22 09:45:09 ,  58617 ,        3 ,      0 ,      0 ,      25 ,  0.6938412 ,          0 ,       0 ,  0.7573028 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000055 ,  1970/01/01 00:00:33 ,  28911 ,        3 ,      0 ,      0 ,      25 ,  0.3678267 ,   2.653846 ,       0 ,  0.3744344 ,   2.038462 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000056 ,  1970/01/01 00:01:03 ,  28706 ,        3 ,      0 ,      0 ,      25 ,  0.2747689 ,          0 ,       0 ,  0.3354181 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000057 ,  1970/01/01 00:01:33 ,  22463 ,        3 ,      0 ,      0 ,      25 ,  0.4551928 ,   1.576923 ,       0 ,  0.4747781 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000058 ,  1970/01/01 00:02:03 ,  42232 ,        3 ,      0 ,      0 ,      25 ,  0.7850071 ,   2.269231 ,       0 ,  0.7996734 ,   4.269231 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000059 ,  1970/01/01 00:02:33 ,  35640 ,        3 ,      0 ,      0 ,      25 ,  0.7782977 ,   5.307693 ,       0 ,  0.8100938 ,   1.961539 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000060 ,  1970/01/01 00:03:03 ,  27139 ,        3 ,      0 ,      0 ,      25 ,  0.7701162 ,          0 ,       0 ,  0.7783002 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000061 ,  1970/01/01 00:03:33 ,  15146 ,        3 ,      0 ,      0 ,      25 ,  0.7703233 ,          0 ,       0 ,  0.7798553 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000062 ,  1970/01/01 00:04:03 ,  31693 ,        3 ,      0 ,      0 ,      25 ,  0.7696104 ,          0 ,       0 ,  0.7805951 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000063 ,  1970/01/01 00:04:33 ,   3307 ,        3 ,      0 ,      0 ,      25 ,  0.7659643 ,          0 ,       0 ,   0.780947 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000064 ,  1970/01/01 00:05:03 ,  31813 ,        3 ,      0 ,      0 ,      25 ,  0.7662306 ,          0 ,       0 ,  0.7814888 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000065 ,  1970/01/01 00:05:33 ,  36911 ,        3 ,      0 ,      0 ,      25 ,  0.7640109 ,          0 ,       0 ,  0.7816287 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000066 ,  1970/01/01 00:06:03 ,  20401 ,        3 ,      0 ,      0 ,      25 ,  0.7617919 ,          0 ,       0 ,  0.7809348 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000067 ,  1970/01/01 00:06:33 ,  44805 ,        3 ,      0 ,      0 ,      25 ,  0.7607938 ,          0 ,       0 ,  0.7820556 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000068 ,  1970/01/01 00:07:03 ,  56258 ,        3 ,      0 ,      0 ,      25 ,  0.7609216 ,          0 ,       0 ,    0.78187 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000069 ,  1970/01/01 00:07:33 ,  38937 ,        3 ,      0 ,      0 ,      25 ,   0.756613 ,          0 ,       0 ,  0.7822976 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000070 ,  1970/01/01 00:08:03 ,  64786 ,        3 ,      0 ,      0 ,      25 ,  0.7541959 ,          0 ,       0 ,  0.7818727 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000071 ,  1970/01/01 00:08:33 ,  50692 ,        3 ,      0 ,      0 ,      25 ,  0.7543333 ,   1.846154 ,       0 ,   0.780615 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000072 ,  1970/01/01 00:09:03 ,  39123 ,        3 ,      0 ,      0 ,      25 ,  0.7519245 ,          0 ,       0 ,  0.7803887 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000073 ,  1970/01/01 00:09:33 ,   7657 ,        3 ,      0 ,      0 ,      25 ,  0.7521972 ,          0 ,       0 ,  0.7845405 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000074 ,  1970/01/01 00:10:03 ,  43913 ,        3 ,      0 ,      0 ,      25 ,  0.7542368 ,   19.03846 ,       0 ,   0.786428 ,         18 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000075 ,  1970/01/01 00:10:33 ,  24868 ,        3 ,      0 ,      0 ,      25 ,  0.7333055 ,          0 ,       0 ,  0.7980416 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000076 ,  1970/01/01 00:11:03 ,  42207 ,        3 ,      0 ,      0 ,      25 ,  0.7314262 ,          0 ,       0 ,  0.8006863 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000077 ,  2021/01/28 11:41:06 ,   6443 ,        3 ,      0 ,      0 ,      25 ,  0.7311233 ,   1.730769 ,       0 ,   0.800214 ,   1.923077 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000078 ,  2021/01/28 11:41:36 ,  37865 ,        3 ,      0 ,      0 ,      25 ,  0.7364173 ,   2.653846 ,       0 ,   0.797017 ,          2 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000079 ,  2021/01/28 11:42:06 ,  64823 ,        3 ,      0 ,      0 ,      25 ,  0.7322389 ,   1.615385 ,       0 ,  0.7969773 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000080 ,  2021/01/28 11:42:36 ,  36214 ,        3 ,      0 ,      0 ,      25 ,  0.7333125 ,          0 ,       0 ,  0.7984324 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000081 ,  2021/01/28 11:43:06 ,  59922 ,        3 ,      0 ,      0 ,      25 ,  0.7489226 ,   2.346154 ,       0 ,  0.7813477 ,   2.076923 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000082 ,  2021/01/28 11:43:36 ,  27014 ,        3 ,      0 ,      0 ,      25 ,  0.7408302 ,   1.807692 ,       0 ,  0.7932407 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
000000083 ,  2021/01/28 11:44:06 ,   1963 ,        3 ,      0 ,      0 ,      25 ,  0.7278135 ,          0 ,       0 ,  0.7970614 ,          0 ,      0 ,        0 ,       0 ,         0 ,        0 ,         0 , 
